Asset_Serial,WO_WO#,WO_Requested,WO_Closed,WO_Type,PartCost
12992579,283098,2012-10-01,2012-10-23,CEIN,
12992579,249799,2012-01-18,2012-03-01,CEIN,
12992579,224548,2011-02-08,2011-12-20,CECM,
12992579,221406,2011-01-22,2011-02-09,CEIN,
12992579,182017,2009-12-15,2010-01-13,CEIN,
12992579,375408,2014-08-19,2014-09-26,CEIN,
12992579,379536,2014-09-26,2014-11-21,CECM,113.28
12992579,379536,2014-09-26,2014-11-21,CECM,13.65
12992579,379536,2014-09-26,2014-11-21,CECM,22.35
12992579,379536,2014-09-26,2014-11-21,CECM,69.95
12992579,413993,2015-08-19,2015-09-30,CEIN,
12992579,419710,2015-09-30,2015-10-01,CECM,361.29
12992579,419710,2015-09-30,2015-10-01,CECM,113.28
12992579,419710,2015-09-30,2015-10-01,CECM,13.65
12992579,462643,2016-09-07,2016-09-07,CECM,69.95
12992579,460231,2016-08-19,2016-09-06,CEIN,
12992579,711010,2021-02-11,2021-02-11,CECM,5.75
12992579,695816,2020-11-06,2020-11-06,CECM,58.76
12992579,682316,2020-08-19,2020-09-01,CEIN,
12992579,684015,2020-08-21,2020-09-01,CECM,
12992579,742594,2021-08-19,2021-09-17,CEIN,3.6
12992579,742594,2021-08-19,2021-09-17,CEIN,5.89
12992579,742594,2021-08-19,2021-09-17,CEIN,1.08
12992579,742594,2021-08-19,2021-09-17,CEIN,1.69
12992579,742594,2021-08-19,2021-09-17,CEIN,23.86
12992579,742594,2021-08-19,2021-09-17,CEIN,150.0
12992579,674753,2020-06-25,2020-06-25,CECM,
12992579,665148,2020-04-30,2020-04-30,CECM,13.65
12992579,650755,2020-02-04,2020-04-30,CECM,3.6
12992579,650755,2020-02-04,2020-04-30,CECM,5.89
12992579,621746,2019-08-19,2019-09-18,CEIN,
12992579,616703,2019-07-19,2019-07-19,CECM,75.06
12992579,616703,2019-07-19,2019-07-19,CECM,20.0
12992579,616703,2019-07-19,2019-07-19,CECM,58.76
12992579,563030,2018-08-19,2018-09-12,CEIN,
12992579,573894,2018-10-01,2018-11-09,CECM,
12992579,510665,2017-08-19,2017-09-05,CEIN,48.97
12992579,520929,2017-10-19,2017-10-20,CECM,
13922892,423481,2015-09-01,2015-09-01,CECM,
13922892,428444,2015-12-20,2016-01-29,CEIN,
13922892,480300,2016-12-20,2017-02-06,CEIN,48.97
13922892,385659,2014-12-20,2015-01-26,CEIN,
13922892,352073,2013-12-20,2014-01-03,CEIN,
13922892,701817,2020-12-20,2021-01-04,CEIN,58.76
13922892,701817,2020-12-20,2021-01-04,CEIN,13.65
13922892,761688,2021-12-20,2021-12-27,CEIN,58.76
13922892,573793,2018-10-01,2018-11-09,CECM,
13922892,578766,2018-11-06,2018-11-06,CECM,39.0
13922892,584674,2018-12-20,2019-01-28,CEIN,48.97
13922892,584674,2018-12-20,2019-01-28,CEIN,13.65
13922892,528288,2017-12-20,2018-01-24,CEIN,
13922892,666456,2020-05-13,2020-05-13,CECM,22.35
13922892,666456,2020-05-13,2020-05-13,CECM,5.89
13922892,666456,2020-05-13,2020-05-13,CECM,3.6
13922892,666456,2020-05-13,2020-05-13,CECM,0.04
13922892,666456,2020-05-13,2020-05-13,CECM,6.84
13922892,666456,2020-05-13,2020-05-13,CECM,75.06
13922892,666456,2020-05-13,2020-05-13,CECM,5.25
13922892,666456,2020-05-13,2020-05-13,CECM,13.65
13922892,676633,2020-07-15,2020-07-15,CECM,58.76
13922892,643339,2019-12-20,2019-12-23,CEIN,13.65
13922892,643339,2019-12-20,2019-12-23,CEIN,13.65
13923251,404903,2015-06-15,2015-06-15,CECM,22.35
13923251,402345,2015-05-19,2015-06-15,CEIN,
13923251,367227,2014-05-19,2014-06-18,CEIN,
13923251,423018,2015-08-06,2015-08-06,CECM,
13923251,448837,2016-05-19,2016-06-03,CEIN,
13923251,696552,2020-11-16,2020-11-16,CECM,58.76
13923251,728044,2021-05-19,2021-06-16,CEIN,
13923251,609633,2019-05-22,2019-07-03,CECM,
13923251,607810,2019-05-19,2019-05-22,CEIN,
13923251,606266,2019-05-06,2019-05-22,CECM,58.76
13923251,667395,2020-05-19,2020-06-29,CEIN,
13923251,659684,2020-03-23,2020-03-23,CECM,5.75
13923251,659684,2020-03-23,2020-03-23,CECM,5.25
13923251,659684,2020-03-23,2020-03-23,CECM,3.6
13923251,659684,2020-03-23,2020-03-23,CECM,5.89
13923251,638586,2019-11-06,2019-11-06,CECM,22.35
13923251,573616,2018-10-01,2018-12-06,CECM,
13923251,582039,2018-11-27,2018-11-27,CECM,20.0
13923251,499186,2017-05-19,2017-05-25,CEIN,48.97
13923251,550408,2018-05-19,2018-06-05,CEIN,
13923294,367236,2014-05-19,2014-06-24,CEIN,
13923294,402393,2015-05-19,2015-06-03,CEIN,
13923294,423741,2015-09-16,2015-09-16,CECM,
13923294,448886,2016-05-19,2016-06-07,CEIN,
13923294,728053,2021-05-19,2021-06-02,CEIN,58.76
13923294,690529,2020-10-07,2020-10-07,CECM,3.6
13923294,690529,2020-10-07,2020-10-07,CECM,1.08
13923294,690529,2020-10-07,2020-10-07,CECM,5.89
13923294,690529,2020-10-07,2020-10-07,CECM,1.69
13923294,696549,2020-11-16,2020-11-16,CECM,
13923294,573685,2018-10-01,2018-11-09,CECM,
13923294,557477,2018-07-09,2018-07-11,CECM,5.75
13923294,499228,2017-05-19,2017-06-06,CEIN,48.97
13923294,499228,2017-05-19,2017-06-06,CEIN,23.86
13923294,550417,2018-05-19,2018-06-07,CEIN,
13923294,607819,2019-05-19,2019-05-29,CEIN,
13923294,603176,2019-04-18,2019-04-18,CECM,
13923294,667404,2020-05-19,2020-10-05,CEIN,5.75
13923294,667404,2020-05-19,2020-10-05,CEIN,5.25
13923294,667404,2020-05-19,2020-10-05,CEIN,13.65
13923299,612872,2019-06-19,2019-07-22,CEIN,58.76
13923299,612872,2019-06-19,2019-07-22,CEIN,13.65
13923299,672834,2020-06-19,2020-06-30,CEIN,
13923299,660801,2020-04-06,2020-04-06,CECM,22.35
13923299,503122,2017-06-19,2017-06-19,CEIN,48.97
13923299,554662,2018-06-19,2018-07-02,CEIN,
13923299,573625,2018-10-01,2018-12-06,CECM,
13923299,581997,2018-11-27,2018-11-27,CECM,20.0
13923299,685148,2020-09-02,2020-09-02,CECM,5.75
13923299,733115,2021-06-19,2021-07-06,CEIN,58.76
13923299,733115,2021-06-19,2021-07-06,CEIN,13.65
13923299,733115,2021-06-19,2021-07-06,CEIN,13.65
13923299,423406,2015-08-27,2015-08-27,CECM,
13923299,452614,2016-06-19,2016-07-21,CEIN,
13923299,433409,2016-01-22,2016-01-22,CECM,
13923299,437635,2016-02-25,2016-02-25,CECM,
13923299,405642,2015-06-19,2015-06-26,CEIN,
13923299,369830,2014-06-19,2014-07-30,CEIN,
13923356,667416,2020-05-19,2020-05-21,CEIN,3.6
13923356,667416,2020-05-19,2020-05-21,CEIN,5.89
13923356,679012,2020-07-26,2020-07-31,CECM,
13923356,679013,2020-07-26,2020-07-31,CECM,
13923356,661120,2020-04-10,2020-04-14,CECM,58.76
13923356,607831,2019-05-19,2019-06-03,CEIN,13.65
13923356,602671,2019-04-12,2019-04-12,CECM,13.65
13923356,619341,2019-07-29,2019-07-29,CECM,58.76
13923356,550429,2018-05-19,2018-07-11,CEIN,48.97
13923356,534778,2018-02-12,2018-02-15,CECM,48.97
13923356,499230,2017-05-19,2017-07-27,CEIN,
13923356,573683,2018-10-01,2018-12-06,CECM,
13923356,728065,2021-05-19,2021-06-01,CEIN,13.65
13923356,744664,2021-08-26,2021-09-03,CECM,23.86
13923356,689246,2020-09-28,2020-09-28,CECM,58.76
13923356,448883,2016-05-19,2016-06-02,CEIN,
13923356,450971,2016-06-02,2016-06-03,CECM,69.95
13923356,450971,2016-06-02,2016-06-03,CECM,6.57
13923356,450971,2016-06-02,2016-06-03,CECM,13.65
13923356,423329,2015-08-24,2015-08-24,CECM,
13923356,462746,2016-09-07,2016-09-07,CECM,
13923356,367248,2014-05-19,2014-06-10,CEIN,
13923356,402392,2015-05-19,2015-05-22,CEIN,
13923356,403535,2015-05-28,2015-05-28,CECM,65.95
13923356,389338,2015-01-28,2015-01-28,CECM,23.86
13923395,646946,2020-01-18,2020-02-10,CEIN,
13923395,669964,2020-05-27,2020-05-28,CECM,58.76
13923395,669964,2020-05-27,2020-05-28,CECM,13.65
13923395,669964,2020-05-27,2020-05-28,CECM,13.65
13923395,588241,2019-01-17,2019-02-07,CEIN,
13923395,531466,2018-01-17,2018-02-27,CEIN,
13923395,573426,2018-10-01,2018-11-09,CECM,
13923395,578381,2018-11-02,2018-11-02,CECM,48.97
13923395,578381,2018-11-02,2018-11-02,CECM,23.86
13923395,707259,2021-01-17,2021-02-24,CEIN,58.76
13923395,699607,2020-12-01,2020-12-02,CECM,5.75
13923395,699607,2020-12-01,2020-12-02,CECM,5.25
13923395,699607,2020-12-01,2020-12-02,CECM,4.5
13923395,699607,2020-12-01,2020-12-02,CECM,3.6
13923395,699607,2020-12-01,2020-12-02,CECM,5.89
13923395,699607,2020-12-01,2020-12-02,CECM,1.08
13923395,699607,2020-12-01,2020-12-02,CECM,1.69
13923395,765103,2022-01-17,2022-01-26,CEIN,3.6
13923395,765103,2022-01-17,2022-01-26,CEIN,5.89
13923395,765103,2022-01-17,2022-01-26,CEIN,1.08
13923395,765103,2022-01-17,2022-01-26,CEIN,1.69
13923395,483428,2017-01-17,2017-02-02,CEIN,48.97
13923395,423705,2015-09-14,2015-09-14,CECM,
13923395,432000,2016-01-18,2016-02-22,CEIN,
13923395,433497,2016-01-25,2016-01-25,CECM,75.06
13923395,354650,2014-01-17,2014-02-07,CEIN,
13923395,388093,2015-01-17,2015-03-24,CEIN,
13923416,535859,2018-02-17,2018-05-01,CEIN,
13923416,573969,2018-10-01,2018-11-14,CECM,
13923416,593686,2019-02-17,2019-02-22,CEIN,48.97
13923416,593686,2019-02-17,2019-02-22,CEIN,13.65
13923416,656933,2020-03-19,2020-03-19,CECM,0.0
13923416,652519,2020-02-18,2020-03-13,CEIN,
13923416,711702,2021-02-17,2021-03-03,CEIN,58.76
13923416,711702,2021-02-17,2021-03-03,CEIN,3.6
13923416,688910,2020-09-24,2020-10-13,CECM,
13923416,769685,2022-02-17,2022-02-28,CEIN,13.65
13923416,487009,2017-02-17,2017-02-27,CEIN,48.97
13923416,455591,2016-07-18,2016-07-18,CECM,
13923416,455422,2016-07-14,2016-07-14,CECM,
13923416,435807,2016-02-18,2016-03-24,CEIN,
13923416,423330,2015-08-24,2015-08-24,CECM,
13923416,431218,2016-01-14,2016-01-14,CECM,
13923416,357985,2014-02-17,2014-03-19,CEIN,
13923416,391175,2015-02-17,2015-02-26,CEIN,
13923632,662255,2020-04-19,2020-05-12,CEIN,3.6
13923632,662255,2020-04-19,2020-05-12,CEIN,5.89
13923632,666894,2020-05-18,2020-05-18,CECM,5.75
13923632,666894,2020-05-18,2020-05-18,CECM,5.25
13923632,676519,2020-07-14,2020-07-14,CECM,
13923632,603705,2019-04-19,2019-04-22,CEIN,13.65
13923632,603705,2019-04-19,2019-04-22,CEIN,13.65
13923632,603705,2019-04-19,2019-04-22,CEIN,58.76
13923632,573336,2018-10-01,2018-11-09,CECM,
13923632,546257,2018-04-19,2018-05-14,CEIN,
13923632,723424,2021-04-19,2021-05-28,CEIN,
13923632,742179,2021-08-18,2021-08-18,CEIN,58.76
13923632,742179,2021-08-18,2021-08-18,CEIN,13.65
13923632,742179,2021-08-18,2021-08-18,CEIN,13.65
13923632,780318,2022-04-19,,CEIN,
13923632,423594,2015-09-08,2015-09-08,CECM,
13923632,444620,2016-04-19,2016-05-12,CEIN,
13923632,489490,2017-03-09,2017-03-09,CECM,22.35
13923632,495166,2017-04-19,2017-09-22,CEIN,48.97
13923632,364082,2014-04-19,2014-05-02,CEIN,
13923632,398655,2015-04-19,2015-05-21,CEIN,
13923633,391218,2015-02-17,2015-03-11,CEIN,
13923633,383164,2014-11-17,2014-11-17,CECM,22.35
13923633,358035,2014-02-17,2014-03-03,CEIN,
13923633,487042,2017-02-17,2017-02-27,CEIN,48.97
13923633,462747,2016-09-07,2016-09-07,CECM,
13923633,435848,2016-02-18,2016-03-15,CEIN,
13923633,423180,2015-08-14,2015-08-14,CECM,
13923633,416661,2015-09-04,2015-09-04,CECM,13.65
13923633,410351,2015-07-21,2015-07-21,CECM,5.91
13923633,410351,2015-07-21,2015-07-21,CECM,65.95
13923633,769740,2022-02-17,2022-03-08,CEIN,13.65
13923633,769740,2022-02-17,2022-03-08,CEIN,13.65
13923633,769740,2022-02-17,2022-03-08,CEIN,3.6
13923633,769740,2022-02-17,2022-03-08,CEIN,5.89
13923633,769740,2022-02-17,2022-03-08,CEIN,1.08
13923633,769740,2022-02-17,2022-03-08,CEIN,1.69
13923633,769740,2022-02-17,2022-03-08,CEIN,8.98
13923633,711758,2021-02-17,2021-03-03,CEIN,3.6
13923633,711758,2021-02-17,2021-03-03,CEIN,58.76
13923633,535918,2018-02-17,2018-04-20,CEIN,
13923633,574178,2018-10-01,2018-12-06,CECM,
13923633,593745,2019-02-17,2019-03-19,CEIN,58.76
13923633,676264,2020-07-10,2020-07-10,CECM,20.0
13923633,652575,2020-02-18,2020-04-13,CEIN,29.6
13923633,650537,2020-01-31,2020-01-31,CECM,13.65
13923768,407054,2015-09-24,2015-09-24,CECM,0.0
13923768,405606,2015-06-19,2015-06-29,CEIN,
13923768,369783,2014-06-19,2014-07-10,CEIN,
13923768,469620,2016-10-26,2016-10-26,CECM,
13923768,452576,2016-06-19,2016-07-06,CEIN,
13923768,422947,2015-08-03,2015-08-03,CECM,
13923768,725370,2021-04-26,2021-04-28,CECM,23.86
13923768,725370,2021-04-26,2021-04-28,CECM,13.65
13923768,696547,2020-11-16,2020-11-16,CECM,
13923768,733128,2021-06-19,2021-07-09,CEIN,58.76
13923768,733128,2021-06-19,2021-07-09,CEIN,3.6
13923768,733128,2021-06-19,2021-07-09,CEIN,5.89
13923768,733128,2021-06-19,2021-07-09,CEIN,1.08
